#Longitud de onda =  476  nm				Anchura de pulso =  150  nm
 Iteracion  E(x,n) real  E(x,n) imag  E(x+1,n) real  E(x+1,n) imag  B(x,n+1/2) real  B(x,n+1/2) imag  B(x-1,n+1/2) real  B(x-1,n+1/2) imag
     0.0     0.213870    -0.299324    2.547689e-01  -2.721640e-01    7.133942e-10    -9.984372e-10      5.681258e-10      -1.069246e-09   
     1.0     0.191241    -0.310354    2.335173e-01  -2.862767e-01    6.401184e-10    -1.040170e-09      4.910072e-10      -1.100500e-09   
     2.0     0.168013    -0.319752    2.114447e-01  -2.988308e-01    5.648399e-10    -1.076432e-09      4.126475e-10      -1.126142e-09   
     3.0     0.144305    -0.327496    1.886671e-01  -3.097880e-01    4.879487e-10    -1.107124e-09      3.334411e-10      -1.146125e-09   
     4.0     0.120236    -0.333571    1.653026e-01  -3.191181e-01    4.098370e-10    -1.132176e-09      2.537811e-10      -1.160431e-09   
     5.0     0.095926    -0.337973    1.414704e-01  -3.267994e-01    3.308973e-10    -1.151542e-09      1.740571e-10      -1.169069e-09   
     6.0     0.071494    -0.340703    1.172903e-01  -3.328185e-01    2.515210e-10    -1.165209e-09      9.465373e-11      -1.172076e-09   
     7.0     0.047058    -0.341773    9.288227e-02  -3.371701e-01    1.720957e-10    -1.173187e-09      1.594854e-11      -1.169515e-09   
     8.0     0.022734    -0.341201    6.836577e-02  -3.398572e-01    9.300386e-11    -1.175516e-09     -6.168968e-11      -1.161473e-09   
     9.0    -0.001364    -0.339014    4.385912e-02  -3.408908e-01    1.462093e-11    -1.172262e-09     -1.379026e-10      -1.148066e-09   
    10.0    -0.025124    -0.335244    1.947901e-02  -3.402899e-01   -6.268651e-11    -1.163517e-09     -2.123438e-10      -1.129432e-09   
    11.0    -0.048437    -0.329935   -4.660077e-03  -3.380809e-01   -1.385624e-10    -1.149398e-09     -2.846806e-10      -1.105730e-09   
    12.0    -0.071199    -0.323132   -2.844635e-02  -3.342978e-01   -2.126626e-10    -1.130045e-09     -3.545953e-10      -1.077146e-09   
    13.0    -0.093308    -0.314892   -5.177125e-02  -3.289818e-01   -2.846567e-10    -1.105624e-09     -4.217865e-10      -1.043882e-09   
    14.0    -0.114670    -0.305274   -7.452994e-02  -3.221808e-01   -3.542294e-10    -1.076320e-09     -4.859704e-10      -1.006163e-09   
    15.0    -0.135192    -0.294345   -9.662171e-02  -3.139494e-01   -4.210816e-10    -1.042341e-09     -5.468822e-10      -9.642308e-10   
    16.0    -0.154789    -0.282177   -1.179505e-01  -3.043481e-01   -4.849319e-10    -1.003913e-09     -6.042766e-10      -9.183440e-10   
    17.0    -0.173380    -0.268848   -1.384251e-01  -2.934435e-01   -5.455175e-10    -9.612827e-10     -6.579291e-10      -8.687770e-10   
    18.0    -0.190891    -0.254437   -1.579600e-01  -2.813072e-01   -6.025956e-10    -9.147108e-10     -7.076367e-10      -8.158175e-10   
    19.0    -0.207254    -0.239032   -1.764749e-01  -2.680160e-01   -6.559436e-10    -8.644747e-10     -7.532188e-10      -7.597658e-10   
    20.0    -0.222407    -0.222721   -1.938960e-01  -2.536510e-01   -7.053609e-10    -8.108653e-10     -7.945172e-10      -7.009325e-10   
    21.0    -0.236296    -0.205596   -2.101556e-01  -2.382976e-01   -7.506685e-10    -7.541854e-10     -8.313972e-10      -6.396371e-10   
    22.0    -0.248871    -0.187752   -2.251923e-01  -2.220443e-01   -7.917104e-10    -6.947484e-10     -8.637476e-10      -5.762065e-10   
    23.0    -0.260093    -0.169286   -2.389519e-01  -2.049830e-01   -8.283535e-10    -6.328767e-10     -8.914808e-10      -5.109730e-10   
    24.0    -0.269927    -0.150296   -2.513868e-01  -1.872080e-01   -8.604883e-10    -5.688994e-10     -9.145331e-10      -4.442728e-10   
    25.0    -0.278346    -0.130882   -2.624564e-01  -1.688158e-01   -8.880287e-10    -5.031513e-10     -9.328646e-10      -3.764443e-10   
    26.0    -0.285330    -0.111144   -2.721275e-01  -1.499041e-01   -9.109124e-10    -4.359709e-10     -9.464589e-10      -3.078263e-10   
    27.0    -0.290868    -0.091182   -2.803739e-01  -1.305721e-01   -9.291008e-10    -3.676986e-10     -9.553232e-10      -2.387565e-10   
    28.0    -0.294952    -0.071096   -2.871765e-01  -1.109193e-01   -9.425784e-10    -2.986753e-10     -9.594873e-10      -1.695699e-10   
    29.0    -0.297586    -0.050985   -2.925238e-01  -9.104511e-02   -9.513533e-10    -2.292404e-10     -9.590037e-10      -1.005972e-10   
    30.0    -0.298778    -0.030945   -2.964111e-01  -7.104873e-02   -9.554562e-10    -1.597306e-10     -9.539469e-10      -3.216301e-11   
    31.0    -0.298543    -0.011073   -2.988409e-01  -5.102834e-02   -9.549401e-10    -9.047787e-11     -9.444122e-10       3.541526e-11   
    32.0    -0.296903     0.008538   -2.998227e-01  -3.108071e-02   -9.498797e-10    -2.180821e-11     -9.305156e-10       1.018290e-10   
    33.0    -0.293887     0.027798   -2.993729e-01  -1.130078e-02   -9.403706e-10     4.595994e-11     -9.123925e-10       1.667799e-10   
    34.0    -0.289528     0.046619   -2.975143e-01   8.218830e-03   -9.265288e-10     1.125171e-10     -8.901968e-10       2.299808e-10   
    35.0    -0.283869     0.064917   -2.942764e-01   2.738818e-02   -9.084895e-10     1.775642e-10     -8.640999e-10       2.911576e-10   
    36.0    -0.276954     0.082612   -2.896947e-01   4.612047e-02   -8.864063e-10     2.408138e-10     -8.342897e-10       3.500496e-10   
    37.0    -0.268835     0.099629   -2.838107e-01   6.433236e-02   -8.604499e-10     3.019913e-10     -8.009692e-10       4.064112e-10   
    38.0    -0.259569     0.115895   -2.766716e-01   8.194440e-02   -8.308076e-10     3.608360e-10     -7.643554e-10       4.600125e-10   
    39.0    -0.249218     0.131344   -2.683300e-01   9.888129e-02   -7.976813e-10     4.171026e-10     -7.246779e-10       5.106405e-10   
    40.0    -0.237846     0.145915   -2.588432e-01   1.150722e-01   -7.612870e-10     4.705615e-10     -6.821777e-10       5.580993e-10   
    41.0    -0.225522     0.159552   -2.482735e-01   1.304512e-01   -7.218532e-10     5.210000e-10     -6.371059e-10       6.022116e-10   
    42.0    -0.212320     0.172203   -2.366873e-01   1.449571e-01   -6.796193e-10     5.682233e-10     -5.897219e-10       6.428183e-10   
    43.0    -0.198317     0.183823   -2.241549e-01   1.585342e-01   -6.348349e-10     6.120548e-10     -5.402926e-10       6.797801e-10   
    44.0    -0.183589     0.194373   -2.107502e-01   1.711321e-01   -5.877578e-10     6.523367e-10     -4.890904e-10       7.129767e-10   
    45.0    -0.168219     0.203819   -1.965501e-01   1.827060e-01   -5.386529e-10     6.889310e-10     -4.363921e-10       7.423082e-10   
    46.0    -0.152289     0.212134   -1.816340e-01   1.932169e-01   -4.877908e-10     7.217190e-10     -3.824774e-10       7.676944e-10   
    47.0    -0.135884     0.219296   -1.660840e-01   2.026316e-01   -4.354462e-10     7.506024e-10     -3.276273e-10       7.890754e-10   
    48.0    -0.119088     0.225289   -1.499836e-01   2.109227e-01   -3.818965e-10     7.755029e-10     -2.721230e-10       8.064113e-10   
    49.0    -0.101988     0.230104   -1.334178e-01   2.180688e-01   -3.274206e-10     7.963628e-10     -2.162442e-10       8.196823e-10   
    50.0    -0.084669     0.233737   -1.164726e-01   2.240545e-01   -2.722973e-10     8.131443e-10     -1.602680e-10       8.288881e-10   
    51.0    -0.067218     0.236189   -9.923457e-02   2.288701e-01   -2.168040e-10     8.258299e-10     -1.044672e-10       8.340483e-10   
    52.0    -0.049718     0.237469   -8.179018e-02   2.325121e-01   -1.612152e-10     8.344221e-10     -4.910960e-11       8.352013e-10   
    53.0    -0.032255     0.237591   -6.422571e-02   2.349825e-01   -1.058016e-10     8.389428e-10      5.543848e-12       8.324040e-10   
    54.0    -0.014910     0.236572   -4.662668e-02   2.362891e-01   -5.082816e-11     8.394333e-10      5.923982e-11       8.257315e-10   
    55.0     0.002236     0.234438   -2.907746e-02   2.364454e-01    3.446420e-12     8.359534e-10      1.117339e-10       8.152761e-10   
    56.0     0.019105     0.231217   -1.166088e-02   2.354701e-01    5.677133e-11     8.285812e-10      1.627917e-10       8.011470e-10   
    57.0     0.035620     0.226943    5.542147e-03   2.333871e-01    1.089046e-10     8.174119e-10      2.121896e-10       7.834689e-10   
    58.0     0.051710     0.221656    2.245296e-02   2.302256e-01    1.596142e-10     8.025579e-10      2.597162e-10       7.623818e-10   
    59.0     0.067303     0.215397    3.899554e-02   2.260191e-01    2.086788e-10     7.841471e-10      3.051724e-10       7.380397e-10   
