#Longitud de onda =  497  nm				Anchura de pulso =  125  nm
 Iteracion  E(x,n) real   E(x,n) imag  E(x+1,n) real  E(x+1,n) imag  B(x,n+1/2) real  B(x,n+1/2) imag  B(x-1,n+1/2) real  B(x-1,n+1/2) imag
     0.0     0.235396   -2.689952e-02    0.241486     3.053082e-03    7.851958e-10    -8.972713e-11      7.529703e-10      -1.844258e-10   
     1.0     0.230376   -4.165137e-02    0.238321    -1.251074e-02    7.714241e-10    -1.402351e-10      7.332727e-10      -2.318592e-10   
     2.0     0.224433   -5.592427e-02    0.234161    -2.771093e-02    7.545619e-10    -1.891359e-10      7.107697e-10      -2.773403e-10   
     3.0     0.217611   -6.966447e-02    0.229044    -4.248733e-02    7.347460e-10    -2.362407e-10      6.856184e-10      -3.207030e-10   
     4.0     0.209958   -8.282173e-02    0.223010    -5.678292e-02    7.121239e-10    -2.813724e-10      6.579847e-10      -3.617935e-10   
     5.0     0.201524   -9.534946e-02    0.216105    -7.054399e-02    6.868528e-10    -3.243665e-10      6.280422e-10      -4.004715e-10   
     6.0     0.192363   -1.072048e-01    0.208376    -8.372029e-02    6.590985e-10    -3.650711e-10      5.959717e-10      -4.366104e-10   
     7.0     0.182529   -1.183490e-01    0.199875    -9.626524e-02    6.290348e-10    -4.033478e-10      5.619596e-10      -4.700974e-10   
     8.0     0.172081   -1.287470e-01    0.190654    -1.081360e-01    5.968423e-10    -4.390718e-10      5.261973e-10      -5.008341e-10   
     9.0     0.161076   -1.383682e-01    0.180770    -1.192938e-01    5.627075e-10    -4.721324e-10      4.888805e-10      -5.287363e-10   
    10.0     0.149575   -1.471857e-01    0.170279    -1.297037e-01    5.268219e-10    -5.024331e-10      4.502073e-10      -5.537344e-10   
    11.0     0.137640   -1.551773e-01    0.159242    -1.393349e-01    4.893808e-10    -5.298920e-10      4.103784e-10      -5.757734e-10   
    12.0     0.125334   -1.623245e-01    0.147718    -1.481606e-01    4.505827e-10    -5.544416e-10      3.695950e-10      -5.948128e-10   
    13.0     0.112718   -1.686134e-01    0.135770    -1.561586e-01    4.106280e-10    -5.760289e-10      3.280588e-10      -6.108265e-10   
    14.0     0.099855   -1.740341e-01    0.123458    -1.633105e-01    3.697179e-10    -5.946156e-10      2.859704e-10      -6.238026e-10   
    15.0     0.086809   -1.785807e-01    0.110847    -1.696021e-01    3.280541e-10    -6.101778e-10      2.435288e-10      -6.337432e-10   
    16.0     0.073642   -1.822517e-01    0.097999    -1.750237e-01    2.858373e-10    -6.227058e-10      2.009302e-10      -6.406645e-10   
    17.0     0.060416   -1.850492e-01    0.084977    -1.795693e-01    2.432662e-10    -6.322039e-10      1.583676e-10      -6.445958e-10   
    18.0     0.047191   -1.869796e-01    0.071843    -1.832373e-01    2.005373e-10    -6.386902e-10      1.160295e-10      -6.455794e-10   
    19.0     0.034026   -1.880528e-01    0.058659    -1.860300e-01    1.578433e-10    -6.421962e-10      7.409924e-11      -6.436703e-10   
    20.0     0.020981   -1.882824e-01    0.045484    -1.879535e-01    1.153729e-10    -6.427662e-10      3.275458e-11      -6.389356e-10   
    21.0     0.008111   -1.876857e-01    0.032379    -1.890178e-01    7.330960e-11    -6.404574e-10     -7.833339e-12      -6.314538e-10   
    22.0    -0.004529   -1.862832e-01    0.019402    -1.892365e-01    3.183107e-11    -6.353385e-10     -4.750053e-11      -6.213144e-10   
    23.0    -0.016887   -1.840985e-01    0.006608    -1.886267e-01   -8.891428e-12    -6.274900e-10     -8.609073e-11      -6.086171e-10   
    24.0    -0.028913   -1.811586e-01   -0.005949    -1.872090e-01   -4.869375e-11    -6.170031e-10     -1.234560e-10      -5.934714e-10   
    25.0    -0.040559   -1.774929e-01   -0.018217    -1.850070e-01   -8.741950e-11    -6.039793e-10     -1.594572e-10      -5.759956e-10   
    26.0    -0.051781   -1.731337e-01   -0.030145    -1.820474e-01   -1.249205e-10    -5.885296e-10     -1.939645e-10      -5.563163e-10   
    27.0    -0.062537   -1.681156e-01   -0.041687    -1.783598e-01   -1.610575e-10    -5.707738e-10     -2.268576e-10      -5.345675e-10   
    28.0    -0.072787   -1.624755e-01   -0.052800    -1.739764e-01   -1.957004e-10    -5.508399e-10     -2.580262e-10      -5.108901e-10   
    29.0    -0.082496   -1.562522e-01   -0.063440    -1.689317e-01   -2.287285e-10    -5.288632e-10     -2.873705e-10      -4.854306e-10   
    30.0    -0.091631   -1.494864e-01   -0.073571    -1.632627e-01   -2.600314e-10    -5.049855e-10     -3.148010e-10      -4.583408e-10   
    31.0    -0.100163   -1.422203e-01   -0.083156    -1.570081e-01   -2.895088e-10    -4.793545e-10     -3.402389e-10      -4.297770e-10   
    32.0    -0.108065   -1.344972e-01   -0.092163    -1.502085e-01   -3.170708e-10    -4.521229e-10     -3.636162e-10      -3.998987e-10   
    33.0    -0.115316   -1.263619e-01   -0.100565    -1.429062e-01   -3.426382e-10    -4.234475e-10     -3.848760e-10      -3.688682e-10   
    34.0    -0.121896   -1.178597e-01   -0.108335    -1.351445e-01   -3.661428e-10    -3.934886e-10     -4.039720e-10      -3.368499e-10   
    35.0    -0.127788   -1.090368e-01   -0.115451    -1.269682e-01   -3.875270e-10    -3.624090e-10     -4.208690e-10      -3.040092e-10   
    36.0    -0.132982   -9.993941e-02   -0.121895    -1.184225e-01   -4.067440e-10    -3.303733e-10     -4.355425e-10      -2.705116e-10   
    37.0    -0.137468   -9.061435e-02   -0.127652    -1.095536e-01   -4.237582e-10    -2.975469e-10     -4.479785e-10      -2.365225e-10   
    38.0    -0.141241   -8.110817e-02   -0.132711    -1.004079e-01   -4.385444e-10    -2.640956e-10     -4.581737e-10      -2.022061e-10   
    39.0    -0.144299   -7.146722e-02   -0.137062    -9.103223e-02   -4.510882e-10    -2.301846e-10     -4.661349e-10      -1.677243e-10   
    40.0    -0.146643   -6.173736e-02   -0.140702    -8.147315e-02   -4.613856e-10    -1.959775e-10     -4.718790e-10      -1.332368e-10   
    41.0    -0.148278   -5.196381e-02   -0.143629    -7.177706e-02   -4.694430e-10    -1.616362e-10     -4.754324e-10      -9.889968e-11   
    42.0    -0.149211   -4.219092e-02   -0.145845    -6.198995e-02   -4.752764e-10    -1.273195e-10     -4.768309e-10      -6.486531e-11   
    43.0    -0.149453   -3.246200e-02   -0.147356    -5.215709e-02   -4.789118e-10    -9.318302e-11     -4.761192e-10      -3.128132e-11   
    44.0    -0.149018   -2.281916e-02   -0.148168    -4.232297e-02   -4.803843e-10    -5.937804e-11     -4.733505e-10       1.709794e-12   
    45.0    -0.147922   -1.330310e-02   -0.148295    -3.253101e-02   -4.797379e-10    -2.605125e-11     -4.685861e-10       3.397124e-11   
    46.0    -0.146185   -3.952989e-03   -0.147750    -2.282345e-02   -4.770255e-10     6.655961e-12     -4.618950e-10       6.537244e-11   
    47.0    -0.143828    5.193672e-03   -0.146550    -1.324113e-02   -4.723075e-10     3.860808e-11     -4.533530e-10       9.578953e-11   
    48.0    -0.140875    1.410121e-02   -0.144715    -3.823414e-03   -4.656523e-10     6.967594e-11     -4.430427e-10       1.251058e-10   
    49.0    -0.137353    2.273589e-02   -0.142267     5.392042e-03   -4.571353e-10     9.973716e-11     -4.310527e-10       1.532119e-10   
