#Longitud de onda =  618  nm				Anchura de pulso =  150  nm
 Iteracion   E(x,n) real  E(x,n) imag  E(x+1,n) real  E(x+1,n) imag  B(x,n+1/2) real  B(x,n+1/2) imag  B(x-1,n+1/2) real  B(x-1,n+1/2) imag
     0.0   -3.300444e-01  -0.162499   -3.160190e-01    -0.197769     -1.100910e-09    -5.420391e-10     -1.134953e-09      -4.218227e-10   
     1.0   -3.353476e-01  -0.143772   -3.233068e-01    -0.179442     -1.121779e-09    -4.802145e-10     -1.149196e-09      -3.590254e-10   
     2.0   -3.396185e-01  -0.124894   -3.295700e-01    -0.160855     -1.139196e-09    -4.178849e-10     -1.159997e-09      -2.960842e-10   
     3.0   -3.428588e-01  -0.105920   -3.348046e-01    -0.142064     -1.153156e-09    -3.552385e-10     -1.167373e-09      -2.331839e-10   
     4.0   -3.450736e-01  -0.086907   -3.390096e-01    -0.123126     -1.163666e-09    -2.924616e-10     -1.171350e-09      -1.705068e-10   
     5.0   -3.462706e-01  -0.067909   -3.421872e-01    -0.104097     -1.170744e-09    -2.297384e-10     -1.171963e-09      -1.082320e-10   
     6.0   -3.464606e-01  -0.048981   -3.443424e-01    -0.085034     -1.174415e-09    -1.672505e-10     -1.169257e-09      -4.653492e-11   
     7.0   -3.456572e-01  -0.030177   -3.454834e-01    -0.065990     -1.174716e-09    -1.051762e-10     -1.163286e-09       1.441306e-11   
     8.0   -3.438766e-01  -0.011547   -3.456210e-01    -0.047022     -1.171693e-09    -4.369007e-11     -1.154112e-09       7.444527e-11   
     9.0   -3.411380e-01   0.006855   -3.447691e-01    -0.028181     -1.165399e-09     1.703736e-11     -1.141807e-09       1.334000e-10   
    10.0   -3.374629e-01   0.024982   -3.429440e-01    -0.009521     -1.155899e-09     7.684027e-11     -1.126449e-09       1.911211e-10   
    11.0   -3.328752e-01   0.042784   -3.401651e-01     0.008907     -1.143264e-09     1.355579e-10     -1.108125e-09       2.474580e-10   
    12.0   -3.274013e-01   0.060216   -3.364538e-01     0.027054     -1.127573e-09     1.930349e-10     -1.086930e-09       3.022667e-10   
    13.0   -3.210699e-01   0.077231   -3.318345e-01     0.044872     -1.108916e-09     2.491218e-10     -1.062964e-09       3.554094e-10   
    14.0   -3.139118e-01   0.093789   -3.263334e-01     0.062314     -1.087386e-09     3.036755e-10     -1.036338e-09       4.067554e-10   
    15.0   -3.059596e-01   0.109846   -3.199795e-01     0.079335     -1.063086e-09     3.565592e-10     -1.007163e-09       4.561812e-10   
    16.0   -2.972481e-01   0.125365   -3.128034e-01     0.095892     -1.036125e-09     4.076433e-10     -9.755611e-10       5.035705e-10   
    17.0   -2.878137e-01   0.140308   -3.048380e-01     0.111944     -1.006618e-09     4.568050e-10     -9.416569e-10       5.488149e-10   
    18.0   -2.776943e-01   0.154641   -2.961179e-01     0.127453     -9.746849e-10     5.039293e-10     -9.055809e-10       5.918140e-10   
    19.0   -2.669295e-01   0.168331   -2.866797e-01     0.142381     -9.404529e-10     5.489087e-10     -8.674679e-10       6.324751e-10   
    20.0   -2.555601e-01   0.181349   -2.765612e-01     0.156693     -9.040529e-10     5.916437e-10     -8.274566e-10       6.707141e-10   
    21.0   -2.436282e-01   0.193666   -2.658020e-01     0.170358     -8.656201e-10     6.320428e-10     -7.856894e-10       7.064553e-10   
    22.0   -2.311769e-01   0.205258   -2.544429e-01     0.183346     -8.252943e-10     6.700228e-10     -7.423115e-10       7.396312e-10   
    23.0   -2.182501e-01   0.216102   -2.425258e-01     0.195628     -7.832183e-10     7.055089e-10     -6.974710e-10       7.701833e-10   
    24.0   -2.048926e-01   0.226176   -2.300939e-01     0.207180     -7.395383e-10     7.384347e-10     -6.513178e-10       7.980614e-10   
    25.0   -1.911499e-01   0.235465   -2.171909e-01     0.217979     -6.944028e-10     7.687424e-10     -6.040035e-10       8.232241e-10   
    26.0   -1.770678e-01   0.243952   -2.038616e-01     0.228005     -6.479625e-10     7.963830e-10     -5.556811e-10       8.456386e-10   
    27.0   -1.626925e-01   0.251625   -1.901512e-01     0.237240     -6.003697e-10     8.213157e-10     -5.065040e-10       8.652809e-10   
    28.0   -1.480704e-01   0.258473   -1.761055e-01     0.245669     -5.517779e-10     8.435088e-10     -4.566258e-10       8.821352e-10   
    29.0   -1.332480e-01   0.264491   -1.617706e-01     0.253280     -5.023411e-10     8.629389e-10     -4.062001e-10       8.961948e-10   
    30.0   -1.182714e-01   0.269671   -1.471925e-01     0.260063     -4.522137e-10     8.795913e-10     -3.553797e-10       9.074607e-10   
    31.0   -1.031869e-01   0.274012   -1.324176e-01     0.266011     -4.015497e-10     8.934596e-10     -3.043162e-10       9.159428e-10   
    32.0   -8.804023e-02   0.277515   -1.174920e-01     0.271119     -3.505023e-10     9.045459e-10     -2.531596e-10       9.216587e-10   
    33.0   -7.287650e-02   0.280181   -1.024617e-01     0.275383     -2.992239e-10     9.128605e-10     -2.020582e-10       9.246342e-10   
    34.0   -5.774036e-02   0.282015   -8.737199e-02     0.278806     -2.478648e-10     9.184218e-10     -1.511577e-10       9.249026e-10   
    35.0   -4.267563e-02   0.283024   -7.226802e-02     0.281389     -1.965738e-10     9.212560e-10     -1.006009e-10       9.225050e-10   
    36.0   -2.772528e-02   0.283219   -5.719410e-02     0.283137     -1.454970e-10     9.213971e-10     -5.052761e-11       9.174896e-10   
    37.0   -1.293125e-02   0.282610   -4.219383e-02     0.284059     -9.477765e-11     9.188865e-10     -1.074119e-12       9.099117e-10   
    38.0    1.665575e-03   0.281212   -2.730989e-02     0.284162     -4.455593e-11     9.137729e-10      4.762725e-11       8.998335e-10   
    39.0    1.602557e-02   0.279041   -1.258399e-02     0.283461      5.031585e-12     9.061120e-10      9.544835e-11       8.873235e-10   
    40.0    3.011040e-02   0.276114    1.943279e-03     0.281967      5.385224e-11     8.959662e-10      1.422656e-10       8.724565e-10   
    41.0    4.388314e-02   0.272451    1.623255e-02     0.279699      1.017776e-10     8.834044e-10      1.879601e-10       8.553131e-10   
    42.0    5.730837e-02   0.268076    3.024577e-02     0.276674      1.486839e-10     8.685013e-10      2.324184e-10       8.359794e-10   
    43.0    7.035225e-02   0.263009    4.394629e-02     0.272912      1.944520e-10     8.513379e-10      2.755319e-10       8.145467e-10   
    44.0    8.298261e-02   0.257278    5.729898e-02     0.268435      2.389682e-10     8.320003e-10      3.171980e-10       7.911112e-10   
    45.0    9.516900e-02   0.250909    7.027029e-02     0.263267      2.821238e-10     8.105798e-10      3.573198e-10       7.657735e-10   
    46.0    1.068828e-01   0.243929    8.282831e-02     0.257434      3.238163e-10     7.871726e-10      3.958063e-10       7.386383e-10   
    47.0    1.180972e-01   0.236368    9.494289e-02     0.250961      3.639484e-10     7.618791e-10      4.325729e-10       7.098140e-10   
    48.0    1.287873e-01   0.228258    1.065857e-01     0.243879      4.024293e-10     7.348039e-10      4.675411e-10       6.794123e-10   
    49.0    1.389302e-01   0.219629    1.177301e-01     0.236216      4.391742e-10     7.060551e-10      5.006389e-10       6.475480e-10   
    50.0    1.485049e-01   0.210515    1.283517e-01     0.228003      4.741048e-10     6.757444e-10      5.318012e-10       6.143382e-10   
    51.0    1.574927e-01   0.200949    1.384276e-01     0.219272      5.071493e-10     6.439858e-10      5.609691e-10       5.799024e-10   
    52.0    1.658765e-01   0.190967    1.479374e-01     0.210058      5.382424e-10     6.108965e-10      5.880907e-10       5.443615e-10   
    53.0    1.736417e-01   0.180602    1.568622e-01     0.200392      5.673254e-10     5.765951e-10      6.131209e-10       5.078381e-10   
    54.0    1.807756e-01   0.169891    1.651856e-01     0.190311      5.943468e-10     5.412024e-10      6.360213e-10       4.704558e-10   
    55.0    1.872675e-01   0.158871    1.728929e-01     0.179850      6.192615e-10     5.048404e-10      6.567603e-10       4.323384e-10   
    56.0    1.931089e-01   0.147576    1.799718e-01     0.169044      6.420315e-10     4.676318e-10      6.753132e-10       3.936102e-10   
    57.0    1.982935e-01   0.136046    1.864118e-01     0.157930      6.626254e-10     4.297000e-10      6.916620e-10       3.543953e-10   
    58.0    2.028167e-01   0.124315    1.922046e-01     0.146546      6.810188e-10     3.911687e-10      7.057955e-10       3.148171e-10   
    59.0    2.066763e-01   0.112421    1.973440e-01     0.134927      6.971940e-10     3.521612e-10      7.177088e-10       2.749983e-10   
    60.0    2.098721e-01   0.100401    2.018258e-01     0.123110      7.111402e-10     3.128001e-10      7.274039e-10       2.350600e-10   
    61.0    2.124056e-01   0.088291    2.056478e-01     0.111134      7.228532e-10     2.732072e-10      7.348891e-10       1.951220e-10   
    62.0    2.142805e-01   0.076127    2.088099e-01     0.099034      7.323351e-10     2.335030e-10      7.401790e-10       1.553020e-10   
    63.0    2.155024e-01   0.063945    2.113139e-01     0.086848      7.395947e-10     1.938063e-10      7.432942e-10       1.157152e-10   
    64.0    2.160787e-01   0.051780    2.131636e-01     0.074612      7.446472e-10     1.542339e-10      7.442614e-10       7.647465e-11   
    65.0    2.160186e-01   0.039667    2.143647e-01     0.062361      7.475138e-10     1.149002e-10      7.431132e-10       3.769010e-11   
    66.0    2.153331e-01   0.027640    2.149246e-01     0.050131      7.482217e-10     7.591725e-11      7.398876e-10      -5.316969e-13   
    67.0    2.140348e-01   0.015731    2.148527e-01     0.037957      7.468041e-10     3.739384e-11      7.346282e-10      -3.808750e-11   
    68.0    2.121381e-01   0.003972    2.141600e-01     0.025872      7.432996e-10    -5.642358e-13      7.273837e-10      -7.487779e-11   
    69.0    2.096588e-01  -0.007604    2.128592e-01     0.013911      7.377524e-10    -3.785471e-11      7.182077e-10      -1.108070e-10   
    70.0    2.066142e-01  -0.018968    2.109647e-01     0.002105      7.302118e-10    -7.437904e-11      7.071586e-10      -1.457837e-10   
    71.0    2.030230e-01  -0.030091    2.084922e-01    -0.009515      7.207323e-10    -1.100426e-10      6.942993e-10      -1.797210e-10   
    72.0    1.989054e-01  -0.040946    2.054592e-01    -0.020918      7.093729e-10    -1.447551e-10      6.796968e-10      -2.125364e-10   
    73.0    1.942825e-01  -0.051504    2.018843e-01    -0.032075      6.961972e-10    -1.784305e-10      6.634220e-10      -2.441523e-10   
    74.0    1.891769e-01  -0.061742    1.977875e-01    -0.042959      6.812729e-10    -2.109873e-10      6.455496e-10      -2.744960e-10   
    75.0    1.836121e-01  -0.071635    1.931901e-01    -0.053541      6.646718e-10    -2.423489e-10      6.261577e-10      -3.034997e-10   
    76.0    1.776125e-01  -0.081161    1.881144e-01    -0.063798      6.464692e-10    -2.724436e-10      6.053273e-10      -3.311009e-10   
    77.0    1.712035e-01  -0.090299    1.825839e-01    -0.073705      6.267441e-10    -3.012044e-10      5.831423e-10      -3.572419e-10   
    78.0    1.644113e-01  -0.099028    1.766230e-01    -0.083240      6.055783e-10    -3.285697e-10      5.596891e-10      -3.818702e-10   
    79.0    1.572629e-01  -0.107331    1.702569e-01    -0.092380      5.830564e-10    -3.544829e-10      5.350563e-10      -4.049373e-10   
    80.0    1.497856e-01  -0.115191    1.635116e-01    -0.101108      5.592658e-10    -3.788918e-10      5.093345e-10      -4.263978e-10   
    81.0    1.420074e-01  -0.122591    1.564139e-01    -0.109404      5.342958e-10    -4.017487e-10      4.826158e-10      -4.462067e-10   
    82.0    1.339569e-01  -0.129516    1.489911e-01    -0.117251      5.082378e-10    -4.230084e-10      4.549939e-10      -4.643145e-10   
    83.0    1.256627e-01  -0.135951    1.412710e-01    -0.124633      4.811847e-10    -4.426254e-10      4.265636e-10      -4.806575e-10   
    84.0    1.171540e-01  -0.141876    1.332818e-01    -0.131535      4.532312e-10    -4.605488e-10      3.974215e-10      -4.951431e-10   
    85.0    1.084602e-01  -0.147265    1.250522e-01    -0.137939      4.244731e-10    -4.767121e-10      3.676662e-10      -5.076236e-10   
    86.0    9.961099e-02  -0.152080    1.166110e-01    -0.143827      3.950078e-10    -4.910170e-10      3.373997e-10      -5.178585e-10   
    87.0    9.063697e-02  -0.156261    1.079874e-01    -0.149170      3.649352e-10    -5.033075e-10      3.067305e-10      -5.254607e-10   
    88.0    8.157004e-02  -0.159712    9.921106e-02    -0.153929      3.343589e-10    -5.133304e-10      2.757789e-10      -5.298274e-10   
    89.0    7.244463e-02  -0.162282    9.031244e-02    -0.158041      3.033895e-10    -5.206816e-10      2.446846e-10      -5.300625e-10   
    90.0    6.329976e-02  -0.163743    8.132347e-02    -0.161403      2.721499e-10    -5.247375e-10      2.136200e-10      -5.249050e-10   
    91.0    5.418215e-02  -0.163769    7.227882e-02    -0.163861      2.407839e-10    -5.245794e-10      1.828069e-10      -5.126942e-10   
    92.0    4.515068e-02  -0.161918    6.321799e-02    -0.165179      2.094687e-10    -5.189277e-10      1.525386e-10      -4.914109e-10   
    93.0    3.628230e-02  -0.157631    5.418853e-02    -0.165025      1.784328e-10    -5.061136e-10      1.232038e-10      -4.588472e-10   
    94.0    2.767891e-02  -0.150268    4.525052e-02    -0.162952      1.479768e-10    -4.841299e-10      9.530700e-11      -4.129490e-10   
    95.0    1.947419e-02  -0.139180    3.648252e-02    -0.158404      1.184971e-10    -4.508104e-10      6.947867e-11      -3.523532e-10   
    96.0    1.183826e-02  -0.123843    2.798822e-02    -0.150747      9.050516e-11    -4.041791e-10      4.646228e-11      -2.770846e-10   
    97.0    4.977407e-03  -0.104044    1.990301e-02    -0.139350      6.463536e-11    -3.429853e-10      2.706685e-11      -1.892971e-10   
    98.0   -8.748914e-04  -0.080103    1.239817e-02    -0.123719      4.162982e-11    -2.673879e-10      1.207569e-11      -9.385581e-11   
    99.0   -5.478738e-03  -0.053071    5.679898e-03    -0.103680      2.228912e-11    -1.796704e-10      2.110176e-12       1.516103e-12   
   100.0   -8.622147e-03  -0.024846   -2.025133e-05    -0.079590      7.379882e-12    -8.478555e-11     -2.537820e-12       8.680265e-11   
   101.0   -1.016709e-02   0.001883   -4.466637e-03    -0.052536     -2.500436e-12     9.536480e-12     -2.073618e-12       1.511441e-10   
   102.0   -1.010061e-02   0.023942   -7.453885e-03    -0.024431     -7.087865e-12     9.337979e-11      2.681133e-12       1.851077e-10   
