#Longitud de onda =  581  nm				Anchura de pulso =  25  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0   -1.575679e-16   9.812867e-17   -4.786803e-25     3.246864e-25  
     1.0   -1.253128e-16   8.351320e-17   -3.215105e-25     2.745105e-25  
     2.0   -1.029470e-16   7.022823e-17   -1.918873e-25     2.313354e-25  
     3.0   -8.875756e-17   5.815698e-17   -8.112017e-26     1.964115e-25  
     4.0   -8.152505e-17   4.701480e-17    1.814671e-26     1.708870e-25  
     5.0   -8.044643e-17   3.637055e-17    1.122970e-25     1.560782e-25  
     6.0   -8.507575e-17   2.564843e-17    2.070478e-25     1.537190e-25  
     7.0   -9.527942e-17   1.411227e-17    3.077046e-25     1.662075e-25  
     8.0   -1.112031e-16   8.330709e-19    4.193735e-25     1.968720e-25  
     9.0   -1.332479e-16  -1.536075e-17    5.471321e-25     2.502721e-25  
    10.0   -1.620523e-16  -3.595159e-17    6.961604e-25     3.325555e-25  
    11.0   -1.984775e-16  -6.282197e-17    8.718278e-25     4.518895e-25  
    12.0   -2.435931e-16  -9.836834e-17    1.079730e-24     6.189876e-25  
    13.0   -2.986581e-16  -1.456439e-16    1.325661e-24     8.477570e-25  
    14.0   -3.650929e-16  -2.085357e-16    1.615506e-24     1.156092e-24  
    15.0   -4.444358e-16  -2.919839e-16    1.955026e-24     1.566844e-24  
    16.0   -5.382771e-16  -4.022490e-16    2.349497e-24     2.109005e-24  
    17.0   -6.481584e-16  -5.472392e-16    2.803164e-24     2.819139e-24  
    18.0   -7.754260e-16  -7.369065e-16    3.318446e-24     3.743106e-24  
    19.0   -9.210205e-16  -9.837247e-16    3.894806e-24     4.938137e-24  
    20.0   -1.085181e-15  -1.303263e-15    4.527199e-24     6.475285e-24  
    21.0   -1.267039e-15  -1.714869e-15    5.203958e-24     8.442348e-24  
    22.0   -1.464059e-15  -2.242482e-15    5.903967e-24     1.094728e-23  
    23.0   -1.671297e-15  -2.915580e-15    6.592916e-24     1.412216e-23  
    24.0   -1.880408e-15  -3.770304e-15    7.218389e-24     1.812781e-23  
    25.0   -2.078341e-15  -4.850742e-15    7.703480e-24     2.315904e-23  
    26.0   -2.245642e-15  -6.210413e-15    7.938558e-24     2.945060e-23  
    27.0   -2.354248e-15  -7.913958e-15    7.770723e-24     3.728378e-23  
    28.0   -2.364669e-15  -1.003903e-14    6.990387e-24     4.699376e-23  
    29.0   -2.222375e-15  -1.267838e-14    5.314318e-24     5.897745e-23  
    30.0   -1.853228e-15  -1.594218e-14    2.364313e-24     7.370176e-23  
    31.0   -1.157725e-15  -1.996038e-14   -2.359441e-24     9.171208e-23  
    32.0   -3.778686e-18  -2.488531e-14   -9.511494e-24     1.136405e-22  
    33.0    1.782276e-15  -3.089412e-14   -1.994208e-23     1.402132e-22  
    34.0    4.426826e-15  -3.819119e-14   -3.474751e-23     1.722563e-22  
    35.0    8.222719e-15  -4.701008e-14   -5.533182e-23     2.106992e-22  
    36.0    1.354612e-14  -5.761490e-14   -8.348183e-23     2.565732e-22  
    37.0    2.087711e-14  -7.030068e-14   -1.214581e-22     3.110051e-22  
    38.0    3.082460e-14  -8.539212e-14   -1.721047e-22     3.752014e-22  
